business_id,business_name,business_time
042E0117,旅客检索清空按钮,2024-04-01 04:44:24.622
042E0115,旅客提取页签检索按钮,2024-04-01 04:44:30.846
042E0115,旅客提取页签检索按钮,2024-04-01 04:44:33.880
042E0118,序号输入框选中旅客,2024-04-01 04:44:35.180
040O0200,值机页面加载,2024-04-01 04:44:35.933
040O0211,点击座位图刷新,2024-04-01 04:44:36.442
040O0204,旅客处理按钮,2024-04-01 04:44:43.357
040O0204,旅客处理按钮,2024-04-01 04:44:43.704
040O0204,旅客处理按钮,2024-04-01 04:45:02.432
042E0121,从其他页面返回检索页刷新,2024-04-01 04:45:20.967
042E0117,旅客检索清空按钮,2024-04-01 04:45:28.688
042E0115,旅客提取页签检索按钮,2024-04-01 04:45:40.278
040O0200,值机页面加载,2024-04-01 04:45:43.630
040O0211,点击座位图刷新,2024-04-01 04:45:44.096
042E0121,从其他页面返回检索页刷新,2024-04-01 04:45:46.766
042E0115,旅客提取页签检索按钮,2024-04-01 04:46:07.148
042E0118,序号输入框选中旅客,2024-04-01 04:46:08.583
042E0115,旅客提取页签检索按钮,2024-04-01 04:46:12.360
042E0118,序号输入框选中旅客,2024-04-01 04:46:13.725
040O0200,值机页面加载,2024-04-01 04:46:19.230
040O0211,点击座位图刷新,2024-04-01 04:46:19.677
042E0121,从其他页面返回检索页刷新,2024-04-01 04:46:43.091
042E0112,列表切换旅客,2024-04-01 04:46:58.752
040O0200,值机页面加载,2024-04-01 04:47:01.727
040O0211,点击座位图刷新,2024-04-01 04:47:02.187
042E0121,从其他页面返回检索页刷新,2024-04-01 04:47:21.739
040O0200,值机页面加载,2024-04-01 04:47:27.332
040O0211,点击座位图刷新,2024-04-01 04:47:27.803
040O0204,旅客处理按钮,2024-04-01 04:47:34.685
040O0204,旅客处理按钮,2024-04-01 04:47:34.844
042E0121,从其他页面返回检索页刷新,2024-04-01 04:47:37.749
040O0200,值机页面加载,2024-04-01 04:47:45.967
040O0211,点击座位图刷新,2024-04-01 04:47:46.386
040O0235,添加婴儿按钮,2024-04-01 04:47:59.616
040O0701,婴儿页面-检索客票信息按钮,2024-04-01 04:48:20.831
040O0200,值机页面加载,2024-04-01 04:48:24.014
042E0121,从其他页面返回检索页刷新,2024-04-01 04:48:25.077
042E0112,列表切换旅客,2024-04-01 04:48:26.041
042E0106,旅客详情按钮,2024-04-01 04:48:27.136
040O0200,值机页面加载,2024-04-01 04:48:38.907
040O0211,点击座位图刷新,2024-04-01 04:48:39.441
040O0235,添加婴儿按钮,2024-04-01 04:48:42.529
040O0701,婴儿页面-检索客票信息按钮,2024-04-01 04:48:47.826
040O0703,添加婴儿按钮,2024-04-01 04:49:19.575
040O0200,值机页面加载,2024-04-01 04:49:22.370
042E0121,从其他页面返回检索页刷新,2024-04-01 04:49:23.790
040O0200,值机页面加载,2024-04-01 04:49:31.632
040O0211,点击座位图刷新,2024-04-01 04:49:32.137
040O0217,删除婴儿按钮,2024-04-01 04:49:36.947
042E0121,从其他页面返回检索页刷新,2024-04-01 04:49:38.235
042E0112,列表切换旅客,2024-04-01 04:49:39.488
040O0200,值机页面加载,2024-04-01 04:49:40.418
040O0211,点击座位图刷新,2024-04-01 04:49:40.970
040O0204,旅客处理按钮,2024-04-01 04:49:43.667
040O0204,旅客处理按钮,2024-04-01 04:49:44.904
040O0211,点击座位图刷新,2024-04-01 04:49:46.616
042E0121,从其他页面返回检索页刷新,2024-04-01 04:49:49.442
042E0112,列表切换旅客,2024-04-01 04:49:55.336
040O0200,值机页面加载,2024-04-01 04:49:56.526
040O0211,点击座位图刷新,2024-04-01 04:49:57.005
040O0204,旅客处理按钮,2024-04-01 04:50:00.159
040O0204,旅客处理按钮,2024-04-01 04:50:00.476
042E0121,从其他页面返回检索页刷新,2024-04-01 04:50:02.103
042E0112,列表切换旅客,2024-04-01 04:50:03.145
040O0200,值机页面加载,2024-04-01 04:50:05.245
040O0211,点击座位图刷新,2024-04-01 04:50:05.625
040O0204,旅客处理按钮,2024-04-01 04:50:10.255
040O0204,旅客处理按钮,2024-04-01 04:50:10.573
042E0121,从其他页面返回检索页刷新,2024-04-01 04:50:12.436
042E0117,旅客检索清空按钮,2024-04-01 04:50:34.783
042E0115,旅客提取页签检索按钮,2024-04-01 04:50:48.352
042E0102,旅客查询页签检索按钮,2024-04-01 04:50:53.292
