business_id,BP,KC,PG,BT,DIST,SUB,business_class,class_name,target
042E0117,4,214,1,17,0.0,0.236,5,结束,0
042E0115,4,214,1,15,2.0,4.006,2,检索提取,0
040O0200,4,24,2,0,190.5938,1.261,4,值机接收,1
040O0211,4,24,2,11,11.0,0.512,4,值机接收,0
040O0204,4,24,2,4,7.0,2.803,4,值机接收,0
042E0121,4,214,1,21,190.7616,6.552,5,结束,1
042E0117,4,214,1,17,4.0,3.156,5,结束,0
042E0117,4,214,1,17,0.0,25.023,5,结束,4
042E0115,4,214,1,15,2.0,15.147,2,检索提取,0
042E0115,4,214,1,15,0.0,3.034,2,检索提取,0
042E0118,4,214,1,18,3.0,1.309,2,检索提取,0
040O0200,4,24,2,0,190.8533,0.574,4,值机接收,1
040O0211,4,24,2,11,11.0,0.439,4,值机接收,0
040O0204,4,24,2,4,7.0,2.257,4,值机接收,0
040O0204,4,24,2,4,0.0,1.368,4,值机接收,0
040O0204,4,24,2,4,0.0,3.427,4,值机接收,0
042E0121,4,214,1,21,190.7616,17.573,5,结束,1
042E0102,4,214,1,2,19.0,1.734,2,检索提取,3
042E0118,4,214,1,18,16.0,4.407,2,检索提取,0
042E0117,4,214,1,17,1.0,5.614,5,结束,0
042E0117,4,214,1,17,0.0,0.611,5,结束,0
042E0115,4,214,1,15,2.0,1.038,2,检索提取,0
042E0115,4,214,1,15,0.0,5.217,2,检索提取,0
042E0118,4,214,1,18,3.0,1.319,2,检索提取,0
042E0106,4,214,1,6,12.0,0.727,10,旅客详情,0
040O0200,4,24,2,0,190.0973,3.663,4,值机接收,1
040O0211,4,24,2,11,11.0,0.486,4,值机接收,0
042E0121,4,214,1,21,190.2656,6.809,5,结束,1
040O0240,4,24,2,40,190.9503,1.093,4,值机接收,1
042E0117,4,214,1,17,191.3897,13.102,5,结束,1
042E0117,4,214,1,17,0.0,1.489,5,结束,0
042E0115,4,214,1,15,2.0,6.102,2,检索提取,0
040O0200,4,24,2,0,190.5938,1.45,4,值机接收,1
040O0211,4,24,2,11,11.0,0.514,4,值机接收,0
042E0121,4,214,1,21,190.2656,3.746,5,结束,1
042E0117,4,214,1,17,4.0,0.651,5,结束,0
042E0105,4,214,1,5,12.0,0.498,61,办理历史,0
042E0117,4,214,1,17,12.0,1.531,5,结束,0
042E0115,4,214,1,15,2.0,26.034,2,检索提取,4
040O0200,4,24,2,0,190.5938,1.997,4,值机接收,1
040O0211,4,24,2,11,11.0,0.553,4,值机接收,0
042E0121,4,214,1,21,190.2656,2.909,5,结束,1
042E0115,4,214,1,15,6.0,4.163,2,检索提取,0
042E0118,4,214,1,18,3.0,1.317,2,检索提取,0
042E0115,4,214,1,15,3.0,3.58,2,检索提取,0
042E0118,4,214,1,18,3.0,1.515,2,检索提取,0
040O0200,4,24,2,0,190.8533,0.557,4,值机接收,1
040O0211,4,24,2,11,11.0,0.451,4,值机接收,0
040O0204,4,24,2,4,7.0,5.312,4,值机接收,0
042E0121,4,214,1,21,190.7616,36.742,5,结束,1
042E0117,4,214,1,17,4.0,5.957,5,结束,0
042E0117,4,214,1,17,0.0,0.976,5,结束,0
042E0115,4,214,1,15,2.0,12.518,2,检索提取,0
042E0112,4,214,1,12,3.0,1.72,2,检索提取,0
040O0200,4,24,2,0,190.3812,1.061,4,值机接收,1
040O0211,4,24,2,11,11.0,0.467,4,值机接收,0
040O0204,4,24,2,4,7.0,1.887,4,值机接收,0
042E0121,4,214,1,21,190.7616,8.933,5,结束,1
042E0117,4,214,1,17,4.0,0.824,5,结束,0
042E0105,4,214,1,5,12.0,5.538,61,办理历史,0
042E0105,4,214,1,5,0.0,3.159,61,办理历史,0
040O0200,4,24,2,0,190.0684,3.286,4,值机接收,1
040O0211,4,24,2,11,11.0,0.42,4,值机接收,0
042E0121,4,214,1,21,190.2656,1.029,5,结束,1
042E0117,4,214,1,17,4.0,0.518,5,结束,0
042E0105,4,214,1,5,12.0,0.692,61,办理历史,0
042E0105,4,214,1,5,0.0,1.751,61,办理历史,0
042E0188,4,214,1,88,83.0,1.247,2,检索提取,2
042E0117,4,214,1,17,71.0,2.407,5,结束,2
042E0105,4,214,1,5,12.0,1.747,61,办理历史,0
042E0105,4,214,1,5,0.0,1.975,61,办理历史,0
040O0200,4,24,2,0,190.0684,1.798,4,值机接收,1
040O0211,4,24,2,11,11.0,0.473,4,值机接收,0
042E0121,4,214,1,21,190.2656,9.136,5,结束,1
042E0102,4,214,1,2,19.0,3.292,2,检索提取,3
042E0102,4,214,1,2,0.0,4.501,2,检索提取,0
040O0200,4,24,2,0,190.0132,1.946,4,值机接收,1
040O0211,4,24,2,11,11.0,0.373,4,值机接收,0
040O0204,4,24,2,4,7.0,2.155,4,值机接收,0
042E0121,4,214,1,21,190.7616,2.855,5,结束,1
042E0117,4,214,1,17,4.0,6.665,5,结束,0
042E0117,4,214,1,17,0.0,0.817,5,结束,0
042E0117,4,214,1,17,0.0,0.317,5,结束,0
042E0117,4,214,1,17,0.0,3.758,5,结束,0
042E0117,4,214,1,17,0.0,0.425,5,结束,0
042E0117,4,214,1,17,0.0,0.236,5,结束,0
042E0115,4,214,1,15,2.0,6.954,2,检索提取,0
040O0200,4,24,2,0,190.5938,1.456,4,值机接收,1
040O0211,4,24,2,11,11.0,0.495,4,值机接收,0
040O0204,4,24,2,4,7.0,6.737,4,值机接收,0
040O0238,4,24,2,38,34.0,1.351,9,重打牌,3
040O0238,4,24,2,38,0.0,0.418,9,重打牌,0
042E0121,4,214,1,21,190.7616,16.75,5,结束,1
042E0117,4,214,1,17,4.0,0.477,5,结束,0
042E0115,4,214,1,15,2.0,3.83,2,检索提取,0
040O0200,4,24,2,0,190.5938,1.274,4,值机接收,1
040O0211,4,24,2,11,11.0,0.467,4,值机接收,0
040O0238,4,24,2,38,27.0,0.654,9,重打牌,3
040O0238,4,24,2,38,0.0,0.536,9,重打牌,0
042E0121,4,214,1,21,190.7616,4.617,5,结束,1
042E0117,4,214,1,17,4.0,1.068,5,结束,0
042E0117,4,214,1,17,0.0,0.24,5,结束,0
042E0117,4,214,1,17,0.0,0.241,5,结束,0
042E0117,4,214,1,17,0.0,1.36,5,结束,0
042E0115,4,214,1,15,2.0,3.179,2,检索提取,0
040O0200,4,24,2,0,190.5938,1.41,4,值机接收,1
040O0211,4,24,2,11,11.0,0.422,4,值机接收,0
040O0212,4,24,2,12,1.0,4.461,4,值机接收,0
040O0204,4,24,2,4,8.0,9.725,4,值机接收,0
040O0280,4,24,2,80,76.0,21.218,15,客票详情,2
040O0200,4,24,2,0,80.0,5.075,4,值机接收,2
040O0210,4,24,2,10,10.0,3.432,4,值机接收,0
040O0212,4,24,2,12,2.0,1.33,4,值机接收,0
040O0204,4,24,2,4,8.0,2.054,4,值机接收,0
040O0204,4,24,2,4,0.0,24.222,4,值机接收,4
040O0204,4,24,2,4,0.0,0.488,4,值机接收,0
16200800,16,20,8,0,14.5602,19.585,74,AV查询,4
16200801,16,20,8,1,1.0,1.557,74,AV查询,0
040O0280,4,24,2,80,80.2309,12.067,15,客票详情,2
040O0200,4,24,2,0,80.0,29.345,4,值机接收,2
01010903,1,1,9,3,24.4131,14.36,5,结束,3
01010102,1,1,1,2,8.0623,24.743,1,登录,4
042E0100,4,214,1,0,213.0305,2.446,2,检索提取,1
042E0115,4,214,1,15,15.0,16.724,2,检索提取,4
042E0115,4,214,1,15,0.0,4.896,2,检索提取,0
042E0118,4,214,1,18,3.0,1.315,2,检索提取,0
042E0118,4,214,1,18,0.0,1.598,2,检索提取,0
040O0200,4,24,2,0,190.8533,1.664,4,值机接收,1
040O0211,4,24,2,11,11.0,0.791,4,值机接收,0
040O0210,4,24,2,10,1.0,8.62,4,值机接收,0
040O0204,4,24,2,4,6.0,2.553,4,值机接收,0
040O0204,4,24,2,4,0.0,0.615,4,值机接收,0
040O0210,4,24,2,10,6.0,2.751,4,值机接收,0
040O0204,4,24,2,4,6.0,1.276,4,值机接收,0
040O0204,4,24,2,4,0.0,0.632,4,值机接收,0
040O0210,4,24,2,10,6.0,13.831,4,值机接收,0
01010917,1,1,9,17,25.219,27.039,5,结束,4
042E0115,4,214,1,15,213.1807,2.759,2,检索提取,1
162R0300,16,227,3,0,23.2809,49.752,72,值机员综合办理统计,4
162R0501,16,227,5,1,2.2361,0.461,72,值机员综合办理统计,0
162R0501,16,227,5,1,0.0,11.987,72,值机员综合办理统计,0
nav,0,0,0,0,227.6203,5.522,5,结束,1
16240100,16,24,1,0,28.8617,13.897,78,航班工作量查询,3
nav,0,0,0,0,28.8617,6.393,5,结束,3
16200100,16,20,1,0,25.632,11.663,77,航班值机情况查询,3
nav,0,0,0,0,25.632,3.696,5,结束,3
16240100,16,24,1,0,28.8617,22.079,78,航班工作量查询,3
nav,0,0,0,0,28.8617,5.111,5,结束,3
162R0300,16,227,3,0,227.583,23.283,72,值机员综合办理统计,1
nav,0,0,0,0,227.583,9.032,5,结束,1
042E0115,4,214,1,15,214.5647,42.97,2,检索提取,1
040O0200,4,24,2,0,190.5938,2.1,4,值机接收,1
040O0211,4,24,2,11,11.0,0.528,4,值机接收,0
040O0204,4,24,2,4,7.0,6.329,4,值机接收,0
01010917,1,1,9,17,27.4955,18.07,5,结束,3
162R0100,16,227,1,0,227.2752,52.122,75,ACPT-个人工作量,1
162R0101,16,227,1,1,1.0,35.862,75,ACPT-个人工作量,4
042E0115,4,214,1,15,22.561,29.019,2,检索提取,4
01010917,1,1,9,17,213.1807,23.091,5,结束,1
162R0300,16,227,3,0,227.2136,23.028,72,值机员综合办理统计,1
nav,0,0,0,0,227.583,4.536,5,结束,1
162R0101,16,227,1,1,227.5676,7.286,75,ACPT-个人工作量,1
