business_class,class_name,business_id
45,GS限额,043L0302
45,GS限额,043L0501
45,GS限额,043L0806
45,GS限额,07161201
46,管理航班限额,044L0205
46,管理航班限额,044L0306
46,管理航班限额,044L0807
46,管理航班限额,044L0703
46,管理航班限额,044L1001
46,管理航班限额,044L1002
46,管理航班限额,044L1003
46,管理航班限额,043L0306
47,管理PSPT,042E0173
47,管理PSPT,040O0284
47,管理PSPT,042F0701
47,管理PSPT,042F0702
47,管理PSPT,042F0703
48,查询座位图,040P0601
49,客票关联,042E0149
49,客票关联,040O0287
49,客票关联,042G0201
49,客票关联,042G0202
49,客票关联,042G0204
50,删除客票,042E0148
50,删除客票,040O0286
50,删除客票,042G0301
51,管理联程段,042E0166
51,管理联程段,040O0236
51,管理联程段,040O1501
51,管理联程段,040O1502
51,管理联程段,040O1503
51,管理联程段,040O1504
51,管理联程段,040O1506
51,管理联程段,040O1507
52,速运,042E0158
52,速运,040O0227
52,速运,040P0208
52,速运,111J0201
52,速运,111J0203
52,速运,111J0204
52,速运,111J0205
52,速运,111J0206
52,速运,111J0207
52,速运,111J0208
53,航班备注,042E0176
53,航班备注,040O0226
53,航班备注,040Q0116
53,航班备注,040P0216
53,航班备注,042E0177
53,航班备注,040O0245
54,登机口备份查询,042E0197
54,登机口备份查询,040O0209
54,登机口备份查询,042E0321
54,登机口备份查询,042E0322
54,登机口备份查询,042E0323
55,删除旅客,042E0144
55,删除旅客,040O0234
55,删除旅客,042E0178
55,删除旅客,042E0179
55,删除旅客,040O0203
55,删除旅客,040O0263
56,团队列表查询,040P0213
56,团队列表查询,040P0401
56,团队列表查询,040P0402
57,航班查询历史,044L0204
57,航班查询历史,044L0303
57,航班查询历史,044L0702
57,航班查询历史,043L0204
57,航班查询历史,043L0303
57,航班查询历史,043L0702
58,主图查询,044L0206
58,主图查询,044L0305
59,人脸识别,203H0402
59,人脸识别,203H0300
59,人脸识别,203H0403
60,打印餐券,042E0193
60,打印餐券,042E0194
60,打印餐券,042E0195
60,打印餐券,040O0294
60,打印餐券,040O0295
60,打印餐券,040O0296
61,办理历史,042E0105
62,运价查询,042E0184
62,运价查询,040O0247
63,里程查询,042E0185
63,里程查询,040O0250
64,过站中止,042E0191
64,过站中止,040O0251
65,行李直挂,040O0298
65,行李直挂,040O0299
66,附加服务相关,042E0183
66,附加服务相关,040O0246
66,附加服务相关,042E0187
66,附加服务相关,040O0229
68,行李服务,111I0300
68,行李服务,111I0201
68,行李服务,111I0202
68,行李服务,111I0203
68,行李服务,111I0101
68,行李服务,111I0102
68,行李服务,111I0103
68,行李服务,111I0104
68,行李服务,111J0101
68,行李服务,111J0102
68,行李服务,111J0103
68,行李服务,111J0104
68,行李服务,111J0110
68,行李服务,111J0105
68,行李服务,111J0106
68,行李服务,111J0107
68,行李服务,111J0108
68,行李服务,111J0109
68,行李服务,111J0111
71,全部操作入口,040O0241
71,全部操作入口,040O0220
71,全部操作入口,040T0107
71,全部操作入口,042F0814
71,全部操作入口,040Q0107
71,全部操作入口,040P0115
71,全部操作入口,040P0207
71,全部操作入口,040P0710
71,全部操作入口,044L1004
71,全部操作入口,042E0107
71,全部操作入口,0716140H
72,值机员综合办理统计,162R0501
72,值机员综合办理统计,162R0500
72,值机员综合办理统计,162R0300
72,值机员综合办理统计,162R0301
73,航班备注管理页面,16200900
73,航班备注管理页面,16200901
73,航班备注管理页面,16200902
73,航班备注管理页面,16200903
73,航班备注管理页面,16200904
73,航班备注管理页面,16201000
73,航班备注管理页面,16201001
73,航班备注管理页面,16201002
73,航班备注管理页面,16201003
73,航班备注管理页面,16201004
74,AV查询,16200800
74,AV查询,16200801
75,ACPT-个人工作量,162R0100
75,ACPT-个人工作量,162R0101
75,ACPT-个人工作量,162R0102
76,座位与旅客控制,07161400
76,座位与旅客控制,07161401
76,座位与旅客控制,07161402
76,座位与旅客控制,07161403
76,座位与旅客控制,07161423
76,座位与旅客控制,07161448
76,座位与旅客控制,07161424
76,座位与旅客控制,07161425
76,座位与旅客控制,07161426
76,座位与旅客控制,07161427
76,座位与旅客控制,07161428
76,座位与旅客控制,07161429
76,座位与旅客控制,07161430
76,座位与旅客控制,07161441
76,座位与旅客控制,07161496
76,座位与旅客控制,07161497
76,座位与旅客控制,07161413
76,座位与旅客控制,07161418
76,座位与旅客控制,07161404
76,座位与旅客控制,07161405
76,座位与旅客控制,07161415
76,座位与旅客控制,07161407
76,座位与旅客控制,07161408
76,座位与旅客控制,07161409
76,座位与旅客控制,07161410
76,座位与旅客控制,07161411
76,座位与旅客控制,07161414
76,座位与旅客控制,07161416
76,座位与旅客控制,07161417
76,座位与旅客控制,07161444
76,座位与旅客控制,07161435
76,座位与旅客控制,07161436
76,座位与旅客控制,07161447
76,座位与旅客控制,07161438
76,座位与旅客控制,0716140A
76,座位与旅客控制,07161439
76,座位与旅客控制,07161412
76,座位与旅客控制,07161419
76,座位与旅客控制,07161420
76,座位与旅客控制,07161421
76,座位与旅客控制,07161442
76,座位与旅客控制,0716140G
76,座位与旅客控制,07161498
76,座位与旅客控制,0716140B
76,座位与旅客控制,0716140C
76,座位与旅客控制,0716140D
76,座位与旅客控制,0716140E
76,座位与旅客控制,07161450
76,座位与旅客控制,07161451
76,座位与旅客控制,07161452
76,座位与旅客控制,07161453
76,座位与旅客控制,07161454
76,座位与旅客控制,07161455
76,座位与旅客控制,07161456
76,座位与旅客控制,07161457
76,座位与旅客控制,07161458
76,座位与旅客控制,07161459
76,座位与旅客控制,07161460
76,座位与旅客控制,07161461
76,座位与旅客控制,07161462
76,座位与旅客控制,07161463
76,座位与旅客控制,07161464
76,座位与旅客控制,07161465
76,座位与旅客控制,07161466
76,座位与旅客控制,07161467
76,座位与旅客控制,07161468
76,座位与旅客控制,07161469
76,座位与旅客控制,07161470
76,座位与旅客控制,07161471
76,座位与旅客控制,07161472
76,座位与旅客控制,07161473
76,座位与旅客控制,07161474
76,座位与旅客控制,07161475
76,座位与旅客控制,07161476
76,座位与旅客控制,07161477
76,座位与旅客控制,07161478
76,座位与旅客控制,07161479
76,座位与旅客控制,07161480
76,座位与旅客控制,07161499
76,座位与旅客控制,07161481
76,座位与旅客控制,07161482
76,座位与旅客控制,07161483
76,座位与旅客控制,07161484
76,座位与旅客控制,07161485
76,座位与旅客控制,07161486
76,座位与旅客控制,07161487
76,座位与旅客控制,07161488
76,座位与旅客控制,07161489
76,座位与旅客控制,07161490
76,座位与旅客控制,07161491
76,座位与旅客控制,07161492
76,座位与旅客控制,07161493
76,座位与旅客控制,07161494
76,座位与旅客控制,07161495
76,座位与旅客控制,07161406
77,航班值机情况查询,16200100
77,航班值机情况查询,16200101
78,航班工作量查询,16240100
79,返回,042E0121
79,返回,040O0208
80,框架公共功能,01010910
80,框架公共功能,01010912
80,框架公共功能,081C9919
81,公共信息查询,151U0100
81,公共信息查询,151U0101
81,公共信息查询,151X0100
81,公共信息查询,151X0101
81,公共信息查询,01020100
81,公共信息查询,01040000
82,客票查询,141R0100
82,客票查询,141R0101
82,客票查询,141R0102
82,客票查询,141R0103
82,客票查询,16290102
83,业务信息查询,16200100
83,业务信息查询,16200101
83,业务信息查询,16200102
83,业务信息查询,16201100
83,业务信息查询,16201101
83,业务信息查询,162A0100
83,业务信息查询,163L0200
83,业务信息查询,163L0201
83,业务信息查询,163L0300
83,业务信息查询,163L0301
84,报文发送,162B0100
84,报文发送,162B0101
84,报文发送,162B0102
84,报文发送,162B0300
84,报文发送,162B0301
84,报文发送,162B0302
85,统计报表查询,060Z0400
85,统计报表查询,060Z0401
85,统计报表查询,060Z0402
