business_id,business_name,business_time,business_label
040O0211,点击座位图刷新,2024-03-31 04:42:06.812,0
040O0204,旅客处理按钮,2024-03-31 04:42:11.427,0
042E0121,从其他页面返回检索页刷新,2024-03-31 04:42:28.198,0
042E0117,旅客检索清空按钮,2024-03-31 04:42:28.445,-1
042E0115,旅客提取页签检索按钮,2024-03-31 04:42:49.728,1
040O0200,值机页面加载,2024-03-31 04:42:53.959,0
040O0211,点击座位图刷新,2024-03-31 04:42:54.524,0
040O0204,旅客处理按钮,2024-03-31 04:43:17.627,0
040O0204,旅客处理按钮,2024-03-31 04:43:47.732,0
040O0204,旅客处理按钮,2024-03-31 04:44:13.864,0
040O0204,旅客处理按钮,2024-03-31 04:44:14.257,0
042E0121,从其他页面返回检索页刷新,2024-03-31 04:44:15.688,0
042E0117,旅客检索清空按钮,2024-03-31 04:44:16.165,-1
042E0102,旅客查询页签检索按钮,2024-03-31 04:44:40.716,1
040O0200,值机页面加载,2024-03-31 04:44:42.375,0
040O0211,点击座位图刷新,2024-03-31 04:44:42.847,0
040O0204,旅客处理按钮,2024-03-31 04:44:47.751,0
042E0121,从其他页面返回检索页刷新,2024-03-31 04:44:58.595,0
042E0117,旅客检索清空按钮,2024-03-31 04:45:01.030,-1
042E0117,旅客检索清空按钮,2024-03-31 04:45:01.513,-1
042E0115,旅客提取页签检索按钮,2024-03-31 04:45:05.012,1
040O0200,值机页面加载,2024-03-31 04:45:06.361,0
040O0211,点击座位图刷新,2024-03-31 04:45:06.836,0
040O0238,重打登机牌按钮,2024-03-31 04:45:07.481,0
040O0238,重打登机牌按钮,2024-03-31 04:45:07.872,0
040O0204,旅客处理按钮,2024-03-31 04:45:17.897,0
042E0121,从其他页面返回检索页刷新,2024-03-31 04:45:37.839,0
042E0117,旅客检索清空按钮,2024-03-31 04:45:38.137,-1
042E0115,旅客提取页签检索按钮,2024-03-31 04:45:44.897,1
042E0115,旅客提取页签检索按钮,2024-03-31 04:45:52.091,1
042E0118,序号输入框选中旅客,2024-03-31 04:45:53.594,0
040O0200,值机页面加载,2024-03-31 04:45:57.319,0
040O0211,点击座位图刷新,2024-03-31 04:45:57.749,0
040O0204,旅客处理按钮,2024-03-31 04:46:02.715,0
040O0204,旅客处理按钮,2024-03-31 04:46:03.013,0
042E0121,从其他页面返回检索页刷新,2024-03-31 04:46:17.920,0
042E0117,旅客检索清空按钮,2024-03-31 04:46:18.184,-1
042E0117,旅客检索清空按钮,2024-03-31 04:46:18.486,-1
042E0115,旅客提取页签检索按钮,2024-03-31 04:46:29.487,1
042E0115,旅客提取页签检索按钮,2024-03-31 04:46:32.213,1
042E0118,序号输入框选中旅客,2024-03-31 04:46:33.542,0
040O0200,值机页面加载,2024-03-31 04:46:35.593,0
040O0211,点击座位图刷新,2024-03-31 04:46:36.042,0
040O0238,重打登机牌按钮,2024-03-31 04:46:37.077,0
040O0238,重打登机牌按钮,2024-03-31 04:46:37.488,0
040O0204,旅客处理按钮,2024-03-31 04:46:40.426,0
040O0210,切换旅客列表,2024-03-31 04:47:12.157,0
040O0204,旅客处理按钮,2024-03-31 04:47:16.070,0
01010917,重置当前页面,2024-03-31 04:47:39.672,-1
042E0115,旅客提取页签检索按钮,2024-03-31 04:47:49.579,1
042E0115,旅客提取页签检索按钮,2024-03-31 04:47:52.616,1
042E0118,序号输入框选中旅客,2024-03-31 04:47:53.940,0
040O0200,值机页面加载,2024-03-31 04:47:54.775,0
040O0211,点击座位图刷新,2024-03-31 04:47:55.250,0
040O0204,旅客处理按钮,2024-03-31 04:47:57.063,0
040O0238,重打登机牌按钮,2024-03-31 04:47:58.618,0
040O0238,重打登机牌按钮,2024-03-31 04:47:59.010,0
040O0210,切换旅客列表,2024-03-31 04:48:21.222,0
040O0204,旅客处理按钮,2024-03-31 04:48:25.701,0
042E0121,从其他页面返回检索页刷新,2024-03-31 04:48:44.281,0
042E0117,旅客检索清空按钮,2024-03-31 04:48:44.628,-1
042E0115,旅客提取页签检索按钮,2024-03-31 04:48:56.453,1
040O0200,值机页面加载,2024-03-31 04:49:03.309,0
040O0211,点击座位图刷新,2024-03-31 04:49:03.747,0
040O0204,旅客处理按钮,2024-03-31 04:49:04.414,0
040O0211,点击座位图刷新,2024-03-31 04:49:04.749,0
040O0204,旅客处理按钮,2024-03-31 04:49:05.854,0
040O0204,旅客处理按钮,2024-03-31 04:49:15.774,0
040O0238,重打登机牌按钮,2024-03-31 04:49:18.109,0
040O0204,旅客处理按钮,2024-03-31 04:49:19.290,0
040O0211,点击座位图刷新,2024-03-31 04:49:19.619,0
040O0285,国际证件校验按钮,2024-03-31 04:49:25.948,0
042F0817,管理CKIN按钮,2024-03-31 04:49:29.091,0
042F0801,国际证件-更新按钮,2024-03-31 04:49:31.222,0
040O0200,值机页面加载,2024-03-31 04:49:35.434,0
040O0204,旅客处理按钮,2024-03-31 04:49:36.826,0
040O0212,切换到联程段座位输入框后自动展示联程段座位图,2024-03-31 04:49:40.934,0
040O0204,旅客处理按钮,2024-03-31 04:49:41.776,0
040O0285,国际证件校验按钮,2024-03-31 04:49:44.827,0
040O0200,值机页面加载,2024-03-31 04:50:37.647,0
040O0262,旅客处理-刷新,2024-03-31 04:50:39.469,0
040O0238,重打登机牌按钮,2024-03-31 04:50:40.748,0
040O0238,重打登机牌按钮,2024-03-31 04:50:41.189,0
040O0204,旅客处理按钮,2024-03-31 04:50:44.072,0
040O0204,旅客处理按钮,2024-03-31 04:50:44.387,0
040O0270,旅客详情按钮,2024-03-31 04:52:33.998,0
042E0121,从其他页面返回检索页刷新,2024-03-31 04:52:45.719,0
042E0117,旅客检索清空按钮,2024-03-31 04:52:45.977,-1
042E0117,旅客检索清空按钮,2024-03-31 04:52:46.280,-1
042E0115,旅客提取页签检索按钮,2024-03-31 04:52:58.977,1
042E0146,重打登机牌按钮,2024-03-31 04:53:00.702,0
042E0146,重打登机牌按钮,2024-03-31 04:53:01.143,0
040O0200,值机页面加载,2024-03-31 04:53:01.871,0
040O0211,点击座位图刷新,2024-03-31 04:53:02.298,0
040O0204,旅客处理按钮,2024-03-31 04:53:04.634,0
040O0204,旅客处理按钮,2024-03-31 04:53:04.937,0
042E0121,从其他页面返回检索页刷新,2024-03-31 04:53:30.210,0
042E0117,旅客检索清空按钮,2024-03-31 04:53:30.524,-1
042E0115,旅客提取页签检索按钮,2024-03-31 04:53:32.637,1
040O0200,值机页面加载,2024-03-31 04:53:33.996,0
040O0211,点击座位图刷新,2024-03-31 04:53:34.416,0
040O0204,旅客处理按钮,2024-03-31 04:53:40.893,0
040O0212,切换到联程段座位输入框后自动展示联程段座位图,2024-03-31 04:53:43.361,0
040O0204,旅客处理按钮,2024-03-31 04:53:46.125,0
040O0204,旅客处理按钮,2024-03-31 04:53:48.924,0
040O0204,旅客处理按钮,2024-03-31 04:53:49.171,0
042E0121,从其他页面返回检索页刷新,2024-03-31 04:54:13.091,0
042E0117,旅客检索清空按钮,2024-03-31 04:54:13.614,-1
042E0117,旅客检索清空按钮,2024-03-31 04:54:13.850,-1
042E0115,旅客提取页签检索按钮,2024-03-31 04:54:21.221,1
040O0200,值机页面加载,2024-03-31 04:54:22.540,0
040O0211,点击座位图刷新,2024-03-31 04:54:22.996,0
040O0204,旅客处理按钮,2024-03-31 04:54:28.297,0
040O0204,旅客处理按钮,2024-03-31 04:54:31.707,0
042E0121,从其他页面返回检索页刷新,2024-03-31 04:54:52.449,0
